111,110,wondering dragon ,6.8,Mixed Meat
112,111,happy family ,6.8,Mixed Meat
113,112,mixed meat in black pepper sauce ,6.8,Mixed Meat
114,113,mixed meat with ginger and spring onions ,6.8,Mixed Meat
115,114,mixed meat with green pepper in black bean sauce ,6.8,Mixed Meat
116,115,mixed meat with mushroom in black bean sauce,6.8,Mixed Meat
117,116,mixed meat with mushrooms ,6.8,Mixed Meat
118,117,mixed meat in satay sauce,6.8,Mixed Meat
119,118,mixed meat in chilli bean sauce,6.8,Mixed Meat
120,119,special curry ,5.5,Curry
121,120,king prawn curry ,6.3,Curry
122,121,roast pork curry,5.5,Curry
123,122,chicken curry ,5.5,Curry
124,123,beef curry,5.5,Curry
125,124,shrimp curry ,5.5,Curry
126,125,duck curry,6.3,Curry
127,126,vegetable curry ,5,Curry
128,127,mushroom curry ,5,Curry
129,128,chicken and beef curry ,6,Curry
130,129,chicken and king prawn curry ,6.2,Curry
131,130,king prawn and beef curry ,6.2,Curry
132,131,chicken Thai green curry ,6,Thai Green Curry
133,132,beef Thai green curry ,6,Thai Green Curry
134,133,king prawn Thai green curry ,6.5,Thai Green Curry
135,134,special Thai green curry ,6.5,Thai Green Curry
136,135,sweet and sour king prawn balls ,6.5,Sweet And Sour
137,136,sweet and sour chicken balls,5.8,Sweet And Sour
138,137,sweet and sour pork balls ,5.8,Sweet And Sour
139,138,sweet and sour king prawns HK style (no batter),6.5,Sweet And Sour
140,139,sweet and sour chicken HK style (no batter),5.8,Sweet And Sour
141,140,sweet and sour king prawns HK style ,6.5,Sweet And Sour
142,141,sweet and sour chicken HK style ,6,Sweet And Sour
143,142,sweet and sour pork HK style,6,Sweet And Sour
144,143,special foo yung ,5.6,Foo Yung
145,144,king prawn foo yung ,6.3,Foo Yung
146,145,chicken foo yung ,5.6,Foo Yung
147,146,roast foo yung ,5.6,Foo Yung
148,147,shrimp foo yung ,5.6,Foo Yung
149,148,mushroom foo yung ,5,Foo Yung
150,149,roast chicken ,6.5,English Dishes
151,150,special omelette ,6.5,English Dishes
152,151,chicken omelette,6.5,English Dishes
153,152,roast pork omelette,6.5,English Dishes
154,153,king prawn omelette,7.2,English Dishes
155,154,shrimp omelette,6.5,English Dishes
156,155,mushroom omelette,6,English Dishes
157,156,plain omelette,5.6,English Dishes
158,157,house special chow Mein ,6.5,Noodle
159,158,Malaysian chow Mein ,6.5,Noodle
160,159,king prawn chow Mein ,6.5,Noodle
161,160,yung chow  Mein ,6.5,Noodle
162,161,shrimp chow Mein ,6,Noodle
163,162,chicken chow mien ,6,Noodle
164,163,beef chow Mein ,6,Noodle
165,164,roast pork chow Mein ,6,Noodle
166,165,Singapore chow Mein ,6,Noodle
167,166,mushroom chow Mein ,5.5,Noodle
168,167,vegetable chow Mein ,5.5,Noodle
169,168,Singapore vermicelli noodles,6.7,Noodle
170,169,yung chow vermicelli noodles,6.7,Noodle
171,170,chicken vermicelli noodles,6.5,Noodle
172,171,beef vermicelli noodles,6.5,Noodle
173,172,roast pork vermicelli noodles,6.5,Noodle
174,173,king prawn vermicelli noodles,6.8,Noodle
175,174,vegetable vermicelli noodles,6,Noodle
176,175,yung chow udon noodles,6.8,Udon Noodles
177,176,chicken udon noodles,6.8,Udon Noodles
178,177,beef udon noodles,6.8,Udon Noodles
179,178,roast pork udon noodles,6.8,Udon Noodles
180,179,king prawn udon noodles,7,Udon Noodles
181,180,shredded pork and duck udon noodles,7,Udon Noodles
182,181,mixed vegetables udon noodles,6,Udon Noodles
183,182,house special fried rice ,6.5,Rice
184,183,chicken fried rice,6,Rice
185,184,roast pork fried rice ,6,Rice
186,185,beef fried rice,6,Rice
187,186,yung chow fried rice,6,Rice
188,187,house special yung chow fried rice ,6.5,Rice
189,188,king prawn fried rice,6.5,Rice
190,189,shrimp fried rice,6,Rice
191,190,Singapore fried rice ,6,Rice
192,191,duck and king prawn fried rice ,6.5,Rice
193,192,mushroom fried rice ,5.5,Rice
194,193,vegetable fried rice ,5.5,Rice
195,194,Malaysian pineapple fried rice ,6,Rice
196,195,vegetable in chilli bean sauce ,5,Vegetarian
197,196,vegetable in black bean sauce ,5,Vegetarian
198,197,vegetables in oyster sauce ,5,Vegetarian
199,198,vegetable with cashew nuts ,5.3,Vegetarian
200,199,vegetables in sweet and sour sauce ,5,Vegetarian
201,200,bean curd with vegetables in chilli bean sauce ,5.3,Vegetarian
202,201,bean curd with vegetables in black bean sauce ,5.3,Vegetarian
203,202,bean curd with ginger and spring onions ,5.3,Vegetarian
204,203,bean curd vegetables,5.3,Vegetarian
205,204,slat and pepper bean curd,5.3,Vegetarian
206,205,bean curd with vegetables in Szechuan sauce,5.3,Vegetarian
207,206a,Egg fried rice (SMALL),2.8,Extra Portions
208,206b,Egg Fried rice (LARGE),3.6,Extra Portions
209,207a,Boiled rice (SMALL),2.6,Extra Portions
210,207b,Boiled rice (LARGE),3.4,Extra Portions
211,208,chips ,2,Extra Portions
212,209,salt and pepper chips ,3.2,Extra Portions
213,210a,Fried Noodle (SMALL),3,Extra Portions
214,210b,Fried Noodle (LARGE),4,Extra Portions
215,211,stir fried mushroom ,2.8,Extra Portions
