106,75,Shrimp Curry,5.8,Curry
107,76,Chicken Curry,5.6,Curry
108,77,Beef Curry,5.6,Curry
109,78,Pork Curry,5.6,Curry
110,79,Chinese Pork Curry,5.6,Curry
111,80,Special Chop Suey,6.4,Chop Suey
112,81,K. Prawn Chop Suey,6.4,Chop Suey
113,82,Shrimp Chop Suey,5.9,Chop Suey
114,83,Chicken Chop Suey,5.8,Chop Suey
115,84,Beef Chop Suey,5.8,Chop Suey
116,85,Pork Chop Suey,5.8,Chop Suey
117,86,Chinese Pork Chop Suey,5.8,Chop Suey
118,87,S+S K. Prawn(balls),6.6,Sweet and Sour
119,88,S+S Chicken(balls),5.8,Sweet and Sour
120,89,S+S Pork(balls),5.8,Sweet and Sour
121,90,S+S Ribs,6.0,Sweet and Sour
122,91,S+S Duck,6.7,Sweet and Sour
123,92,S+S K. Prawn (HK),6.7,Sweet and Sour
124,93,S+S Chicken (HK),6.4,Sweet and Sour
125,94,S+S Pork (HK),6.4,Sweet and Sour
126,95,Special Foo Yung,6.4,Foo Yung
127,96,K. Prawn Foo Yung,6.4,Foo Yung
128,97,Shrimp Foo Yung,5.9,Foo Yung
129,98,Chicken Foo Yung,5.8,Foo Yung
130,99,Chinese Pork Foo Yung,5.8,Foo Yung
131,100,Mush. Foo Yung,5.4,Foo Yung
132,101,Plain Foo Yung,5.2,Foo Yung
133,102,Special FR,7.0,Fried Rice
134,103,Yung Chow FR,6.6,Fried Rice
135,104,Singapore FR,6.6,Fried Rice
136,105,K. Prawn FR,7.0,Fried Rice
137,106,Shrimp FR,6.5,Fried Rice
138,107,Chicken FR,6.4,Fried Rice
139,108,Beef FR,6.4,Fried Rice
140,109,Chinese Pork FR,6.4,Fried Rice
141,110,Ham FR,6.4,Fried Rice
142,111,Rainbow FR,6.6,Fried Rice
143,112,Special Chow Mein,7.0,Chow Mein
144,113,Singapore Chow Mein,6.6,Chow Mein
145,114,K. Prawn Chow Mein,7.0,Chow Mein
